Rank,City,AverageTCI,MaxTCI,Latitude,Longitude
1,Lagos,60.16,130.21,6.4550575,3.3941795
2,Riga,47.12,87.51,56.9493977,24.1051846
3,Mumbai,38.37,153.41,18.9733536,72.82810491917377
4,Tehran,38.2,110.12,35.6892523,51.3896004
5,London,38.16,128.5,51.4893335,-0.14405508452768728
6,Mexico City,35.94,169.08,19.4326296,-99.1331785
7,Kraków,35.83,114.84,50.0469432,19.997153435836697
8,New York City,33.77,123.34,40.7127281,-74.0060152
9,Warsaw,33.37,131.22,52.2319581,21.0067249
10,Lima,32.71,99.08,-12.0621065,-77.0365256
11,Bogotá,29.69,103.1,4.6529539,-74.0835643
12,Jakarta,29.55,132.36,-6.175247,106.8270488
13,São Paulo,28.53,125.47,-1.2043218,-47.1583944
14,Cairo,28.46,115.55,30.0443879,31.2357257
15,?ód?,27.61,108.14,-19.9424962,18.395886
16,Bucuresti,26.3,114.13,44.4361414,26.1027202
17,Istanbul,25.41,169.65,41.006381,28.9758715
18,Dublin,24.4,109.51,53.3493795,-6.2605593
19,Brussels,24.22,119.05,50.8550018,4.3512333761166175
20,Rio de Janeiro,24.03,98.27,-22.9110137,-43.2093727
21,Budapest,23.88,108.99,47.4978918,19.0401609
22,Bangkok,22.9,138.51,13.8245796,100.6224463
23,Moscow,21.43,129.43,55.625578,37.6063916
24,Birmingham,21.02,101.07,52.4796992,-1.9026911
25,Stockholm,20.97,158.14,59.3251172,18.0710935
26,Paris,20.39,69.77,48.8534951,2.3483915
27,Leeds,20.13,115.35,53.7974185,-1.5437941
28,Athens,19.57,136.62,33.9597677,-83.376398
29,Bangalore,18.48,59.32,12.9767936,77.590082
30,Chennai,18.17,114.54,13.0836939,80.270186
31,New Delhi,17.94,57.99,28.6138954,77.2090057
32,Berlin,17.75,89.81,52.5170365,13.3888599
33,Riyadh,17.51,107.16,24.638916,46.7160104
34,Saint Petersburg,17.24,100.4,59.938732,30.316229
35,Vienna,16.79,84.58,48.2083537,16.3725042
36,Prague,15.83,56.47,50.0596288,14.446459273258009
37,Vilnius,15.65,104.16,54.6870458,25.2829111
38,Barcelona,15.13,138.36,41.3828939,2.1774322
39,Santiago,13.89,105.0,9.8694792,-83.7980749
40,Palermo,13.45,53.22,38.1112268,13.3524434
41,Hyderabad,12.19,56.52,17.360589,78.4740613
42,Marseille,11.77,79.38,43.2961743,5.3699525
43,Milan,11.3,68.14,45.4641943,9.1896346
44,Frankfurt,11.21,71.51,50.1106444,8.6820917
45,Yangon,11.18,41.82,16.7967129,96.1609916
46,Lisbon,11.01,87.53,38.7077507,-9.1365919
47,Cologne,10.46,46.33,43.7218277,0.9774958
48,Rome,10.4,72.47,41.8933203,12.4829321
49,Ankara,10.04,56.81,39.7160439,32.7059948
50,Tokyo,10.03,72.61,35.6840574,139.7744912
51,Casablanca,8.78,38.7,33.5945144,-7.6200284
52,Karachi,7.98,133.74,14.455505,121.0089809
53,Ahmedabad,7.58,34.99,23.0216238,72.5797068
54,Madrid,6.9,69.43,40.4167047,-3.7035825
55,Zagreb,6.82,44.77,45.8130967,15.9772795
56,Seville,6.76,92.61,37.3886303,-5.9953403
57,Amsterdam,6.74,37.29,52.3730796,4.8924534
58,Hong Kong,6.72,75.85,22.350627,114.1849161
59,Hamburg,6.28,60.09,53.550341,10.000654
60,Sofia,6.25,39.1,-15.2538402,48.2562163
61,Copenhagen,5.79,46.06,55.6867243,12.5700724
62,Munich,5.56,37.67,48.1371079,11.5753822
63,Lahore,5.42,25.14,31.5656822,74.3141829
64,Singapore,5.23,42.93,1.357107,103.8194992
65,Helsinki,4.67,22.43,60.1674881,24.9427473
66,Turin,4.29,46.2,45.0677551,7.6824892
67,Valencia,3.4,31.97,39.4697065,-0.3763353
68,Zaragoza,2.01,42.18,41.6521342,-0.8809428
